"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"7645","Normal/Others","WS/MP18109/2024-2025/150148-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","KARWAHI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7646","Normal/Others","WS/MP18109/2024-2025/150149-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","KHAMH BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7647","Normal/Others","WS/MP18109/2024-2025/150150-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","DUBARI KALA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7648","Normal/Others","WS/MP18109/2024-2025/150151-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","PONDI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7649","Normal/Others","WS/MP18109/2024-2025/150152-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","KAMACHH BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7650","Normal/Others","WS/MP18109/2024-2025/150153-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BHADAURA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7651","Normal/Others","WS/MP18109/2024-2025/150154-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","GOTARA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7652","Normal/Others","WS/MP18109/2024-2025/150155-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","SHANKAR BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7653","Normal/Others","WS/MP18109/2024-2025/150156-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","TANSAR BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7654","Normal/Others","WS/MP18109/2024-2025/150157-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","RAUHAL BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7655","Normal/Others","WS/MP18109/2024-2025/150158-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","KUSMI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7656","Normal/Others","WS/MP18109/2024-2025/150159-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","SONGARH BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7657","Normal/Others","WS/MP18109/2024-2025/150160-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","MAJHIGAWAN BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7658","Normal/Others","WS/MP18109/2024-2025/150161-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","CHAMRADOL BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7659","Normal/Others","WS/MP18109/2024-2025/150162-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","NEBUHA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7660","Normal/Others","WS/MP18109/2024-2025/150163-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","TALA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7661","Normal/Others","WS/MP18109/2024-2025/150164-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","PATHRAULA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7662","Normal/Others","WS/MP18109/2024-2025/150165-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","SAHIJANHA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7663","Normal/Others","WS/MP18109/2024-2025/150166-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","SHIKRA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7664","Normal/Others","WS/MP18109/2024-2025/150167-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","TIKRI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7665","Normal/Others","WS/MP18109/2024-2025/150168-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","MAHKHOR BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7666","Normal/Others","WS/MP18109/2024-2025/150169-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","MADWAS BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7667","Normal/Others","WS/MP18109/2024-2025/150170-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","AGDAL BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7668","Normal/Others","WS/MP18109/2024-2025/150171-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","AHIRANTOLA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7669","Normal/Others","WS/MP18109/2024-2025/150172-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","AKAURI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7670","Normal/Others","WS/MP18109/2024-2025/150173-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","AMILAHA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7671","Repair and Renovation","WS/MP18109/2024-2025/150174-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BAGHWAR BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7672","Normal/Others","WS/MP18109/2024-2025/150175-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BHAINSRAHA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7673","Normal/Others","WS/MP18109/2024-2025/150176-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BOKARO BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7674","Normal/Others","WS/MP18109/2024-2025/150177-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BUDHGAUNA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7675","Normal/Others","WS/MP18109/2024-2025/150178-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","CHANDREH BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7676","Normal/Others","WS/MP18109/2024-2025/150179-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","CHORGADI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7677","Normal/Others","WS/MP18109/2024-2025/150180-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","GUJRED BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7678","Normal/Others","WS/MP18109/2024-2025/150181-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","HANUMANGARH BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7679","Normal/Others","WS/MP18109/2024-2025/150182-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","JAMUNIHA NO 02 BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7680","Normal/Others","WS/MP18109/2024-2025/150183-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","JHAGRI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7681","Normal/Others","WS/MP18109/2024-2025/150184-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","JHALA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7682","Normal/Others","WS/MP18109/2024-2025/150185-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","KANDHWAR BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7683","Normal/Others","WS/MP18109/2024-2025/150186-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","KAPURI BEDAULIYAN BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7684","Normal/Others","WS/MP18109/2024-2025/150187-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","KARAUDIYA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7685","Normal/Others","WS/MP18109/2024-2025/150188-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","KHAIRA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7686","Normal/Others","WS/MP18109/2024-2025/150189-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","KUSHMAHAR BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7687","Normal/Others","WS/MP18109/2024-2025/150190-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","MANKISAR BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7688","Normal/Others","WS/MP18109/2024-2025/150191-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","AMARPUR BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7689","Normal/Others","WS/MP18109/2024-2025/150192-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BAGHOR BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7690","Normal/Others","WS/MP18109/2024-2025/150193-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BAHARI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7691","Normal/Others","WS/MP18109/2024-2025/150194-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BARBANDHA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7692","Normal/Others","WS/MP18109/2024-2025/150195-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","BELAHA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7693","Normal/Others","WS/MP18109/2024-2025/150196-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","CHORAHI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7694","Normal/Others","WS/MP18109/2024-2025/150197-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","DAMAK BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7695","Normal/Others","WS/MP18109/2024-2025/150198-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","DOL BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7696","Normal/Others","WS/MP18109/2024-2025/150199-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","GODAHI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7697","Normal/Others","WS/MP18109/2024-2025/150200-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","JANAKPUR BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7698","Normal/Others","WS/MP18109/2024-2025/150201-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","KARIMATI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7699","Normal/Others","WS/MP18109/2024-2025/150202-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","KHORI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7700","Normal/Others","WS/MP18109/2024-2025/150203-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","KARAUNDI KALA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7701","Normal/Others","WS/MP18109/2024-2025/150204-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","KUBRI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7702","Normal/Others","WS/MP18109/2024-2025/150205-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","KUCHWAHI BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7703","Normal/Others","WS/MP18109/2024-2025/150206-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","MARSARHA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7704","Normal/Others","WS/MP18109/2024-2025/150207-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","NAKJHAR KALA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7705","Normal/Others","WS/MP18109/2024-2025/150208-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","PAMARIYA BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7706","Normal/Others","WS/MP18109/2024-2025/150209-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","RAMDIH BUS STAND KE PAS","30-Oct-2024","04-Feb-2025","259942","Physical Inspection"
"7707","Normal/Others","WS/MP18235/2024-2025/150210-Lighting of public spaces","Uttar Pradesh","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","MOHIBBULLAH","RAMPUR","HIGH MAST LIGHT WITH SIX LED RECOMMENDED IN MY CONSTITUENCY RAMPUR BY IA UPSIC MORADABAD(VILLAGE CHHITAUNI MAI  AMBEDKAR  PARK MAI HIGH MAST LIGHT)","10-Nov-2024","13-Dec-2024","200502","Physical Inspection"
