"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"17850","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP743/2025-2026/192846","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","23-Jan-2026","Unicare Academy","Payment Success","25000"
"17851","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP743/2025-2026/192844","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","23-Jan-2026","Unicare Academy","Payment Success","25000"
"17852","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP743/2025-2026/192816","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","23-Jan-2026","Unicare Academy","Payment Success","25000"
"17853","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP743/2025-2026/192887","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","23-Jan-2026","Unicare Academy","Payment Success","25000"
"17854","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP743/2025-2026/193351","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","08-Jan-2026","Unicare Academy","Payment Success","25000"
"17855","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP743/2025-2026/193349","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","13-Jan-2026","Unicare Academy","Payment Success","25000"
"17856","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP458/2026-2027/211376","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","11-Jul-2026","SELVAM B","Payment Success","909327"
"17857","Tamil Nadu","Construction of community centers and community halls","WS/MP458/2025-2026/149732","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Kanimozhi Karunanidhi","THOOTHUKKUDI","05-Jan-2026","SELVAM B","Payment Success","2709989"
"17858","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18358/2025-2026/180556","GANJAM(DISTRICT COLLECTOR GANJAM_IDA)","ANITA SUBHADARSHINI","ASKA","13-Jan-2026","Bijay Mahanti","Payment Success","200000"
"17859","Haryana","Construction of community centers and community halls","WS/MP18062/2025-2026/202994","BHIWANI(DC Cum Nodal Officer MPLADS Bhiwani)","JAI PARKASH","HISAR","09-Jan-2026","Shri Nath Trading Company","Payment Success","486226"
"17860","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP323/2025-2026/239419","GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","07-Jan-2026","UMRALA GRAM PANCHAYAT","Payment Success","250000"
"17861","Haryana","Construction of common work sheds/ common covered sitting area","WS/MP18064/2025-2026/185894","KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA)","NAVEEN JINDAL","KURUKSHETRA","23-Feb-2026","The kaithal Bhanu Cooperative Labour and Construction Society Limited Kaithal","Payment Success","891708"
"17862","Rajasthan","Construction of community centers and community halls","WS/MP18161/2024-2025/138069","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","BHARATPUR(SC)","14-Jan-2026","khemchand","Payment Success","3367"
"17863","Rajasthan","Construction of community centers and community halls","WS/MP18161/2024-2025/138069","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","SANJNA JATAV","BHARATPUR(SC)","14-Jan-2026","dashrath","Payment Success","9100"
"17864","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2025-2026/198837","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","06-Jan-2026","SHIV KUMAR","Payment Success","9200"
"17865","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2025-2026/198837","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","06-Jan-2026","SHIV KUMAR","Payment Success","9200"
"17866","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2024-2025/153729","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","05-Jan-2026","SUNNY KUMAR","Payment Success","6400"
"17867","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2024-2025/153729","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","05-Jan-2026","RIDHI CHOPRA","Payment Success","7200"
"17868","Punjab","Construction of bus-sheds or bus-stops","WS/MP18311/2025-2026/198838","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","06-Jan-2026","PRABHAKAR MARBLE EMPORIUM","Payment Success","150000"
"17869","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/169574","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","21-May-2026","Lalit Kumar Sharma Electric Contractor Contractor Sirsa","Payment Success","908381"
"17870","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/203805","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","13-Aug-2026","Lalit Kumar Sharma Electric Contractor Contractor Sirsa","Payment Success","478748"
"17871","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/203806","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","13-Aug-2026","Lalit Kumar Sharma Electric Contractor Contractor Sirsa","Payment Success","164672"
"17872","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/203806","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","13-Aug-2026","Lalit Kumar Sharma Electric Contractor Contractor Sirsa","Payment Success","461663"
"17873","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/203805","SIRSA(DEPUTY COMMISSIONER SIRSA_IDA)","SELJA","SIRSA(SC)","13-Aug-2026","Lalit Kumar Sharma Electric Contractor Contractor Sirsa","Payment Success","177141"
"17874","Jammu And Kashmir","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18260/2025-2026/191701","SRINAGAR(DEPUTY COMMISSIONER SRINAGAR_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","06-Jan-2026","Shamim Aijaz Bhat","Payment Success","294343"
"17875","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP18106/2025-2026/185615","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","05-Jan-2026","Rohit Garg","Payment Success","350000"
"17876","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP18106/2025-2026/185615","SHEOPUR(District Collector Sheopur_IDA)","SHIVMANGAL SINGH TOMAR","MORENA","20-Jul-2026","Rohit Garg","Payment Success","249781"
"17877","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP478/2025-2026/154248","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","13-Jan-2026","Pramod Singh Saphiya","Payment Success","14112"
"17878","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP478/2025-2026/154248","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","13-Jan-2026","Tejpal Saphiya","Payment Success","14112"
"17879","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP478/2025-2026/154248","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","13-Jan-2026","Abhishek Kumar","Payment Success","14364"
"17880","Rajasthan","Construction of toilet blocks","WS/MP722/2024-2025/153047","BARAN(DISTRICT COLLECTOR BARAN_IDA)","Dushyant Singh","JHALAWAR-BARAN","07-Jan-2026","Namdev Construction Company","Payment Success","1389502"
"17881","Rajasthan","Construction of toilet blocks","WS/MP722/2024-2025/153047","BARAN(DISTRICT COLLECTOR BARAN_IDA)","Dushyant Singh","JHALAWAR-BARAN","26-Mar-2026","Namdev Construction Company","Payment Success","347373"
"17882","Uttarakhand","Construction of common work sheds/ common covered sitting area","WS/MP478/2025-2026/154248","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","13-Jan-2026","Neelam","Payment Success","14112"
"17883","Uttarakhand","Construction of culverts and bridges","WS/MP478/2025-2026/154239","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","20-Jan-2026","Ashok Kumar Gupta","Payment Success","10332"
"17884","Uttarakhand","Construction of culverts and bridges","WS/MP478/2025-2026/154239","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","20-Jan-2026","Yudhvir Singh Negi","Payment Success","10080"
"17885","Haryana","Providing supply pipelines for drinking water","WS/MP18062/2025-2026/153853","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","02-Jan-2026","Sushil Kumar Contractor","Payment Success","165980"
"17886","Jammu And Kashmir","Street lights","WS/MP18379/2025-2026/204157","BARAMULLA(DEPUTY COMMISSIONER BARAMULLAH_IDA)","ABDUL RASHID SHEIKH","BARAMULLAH","03-Jan-2026","ACD Baramulla","Payment Success","350000"
"17887","Jammu And Kashmir","Street lights","WS/MP18379/2025-2026/204155","BARAMULLA(DEPUTY COMMISSIONER BARAMULLAH_IDA)","ABDUL RASHID SHEIKH","BARAMULLAH","03-Jan-2026","ACD Baramulla","Payment Success","445000"
"17888","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/238439","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","28-Jan-2026","VIRPAR GRAM PANCHAYAT","Payment Success","483461"
"17889","Punjab","Construction of buildings for community cultural activities","WS/MP18155/2025-2026/236716","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","05-Jan-2026","Man Shuttering And Hw Store","Payment Success","10000"
"17890","Punjab","Construction of buildings for community cultural activities","WS/MP18155/2025-2026/250035","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","20-Feb-2026","Man Shuttering And Hw Store","Payment Success","43000"
"17891","Punjab","Construction of buildings for community cultural activities","WS/MP18155/2025-2026/236716","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","05-Jan-2026","Lakhvir Chand","Payment Success","55850"
"17892","Rajasthan","Installing tube-wells and borewells","WS/MP18167/2025-2026/250250","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","09-Jan-2026","Chahak Construction Co","Payment Success","576887"
"17893","Himachal Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18069/2025-2026/211728","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","03-Jan-2026","GP KURAL","Payment Success","143546"
"17894","Rajasthan","Construction of community centers and community halls","WS/MP384/2025-2026/211769","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Shri Arjun Ram Meghwal","BIKANER(SC)","20-Jan-2026","SIYARAM CLOTH STORE","Payment Success","314661"
"17895","Rajasthan","Construction of community centers and community halls","WS/MP384/2025-2026/211769","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Shri Arjun Ram Meghwal","BIKANER(SC)","21-Apr-2026","SIYARAM CLOTH STORE","Payment Success","289907"
"17896","Rajasthan","Construction of community centers and community halls","WS/MP384/2025-2026/211769","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Shri Arjun Ram Meghwal","BIKANER(SC)","24-Feb-2026","SIYARAM CLOTH STORE","Payment Success","379582"
"17897","Jammu And Kashmir","Construction of culverts and bridges","WS/MP600/2024-2025/158999","UDHAMPUR(Deputy Commissioner Udhampur_IDA)","Jitendra Singh","UDHAMPUR","03-Jan-2026","Rakesh  Khajuria","Payment Success","166000"
"17898","Jammu And Kashmir","Construction of culverts and bridges","WS/MP600/2024-2025/159368","UDHAMPUR(Deputy Commissioner Udhampur_IDA)","Jitendra Singh","UDHAMPUR","08-Jan-2026","Rakesh  Khajuria","Payment Success","166000"
"17899","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2024-2025/164297","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","12-Jan-2026","HARPAL","Payment Success","160844"
"17900","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2024-2025/164298","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","02-Jan-2026","HARPAL","Payment Success","60518"
"17901","Kerala","Construction of footpaths and pedestrian ways","WS/MP343/2025-2026/199102","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Dr Shashi Tharoor","THIRUVANANTHAPURAM","27-Feb-2026","CHRISTHUDAS","Payment Success","544627"
"17902","Kerala","Construction of footpaths and pedestrian ways","WS/MP343/2025-2026/199160","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Dr Shashi Tharoor","THIRUVANANTHAPURAM","06-Jan-2026","CHRISTHUDAS","Payment Success","181944"
"17903","Uttarakhand","Providing supply pipelines for drinking water","WS/MP021/2025-2026/204392","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","23-Feb-2026","Dynamic Infratech","Payment Success","283045"
"17904","Punjab","Construction of toilet blocks","WS/MP18158/2025-2026/191127","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","05-Jan-2026","KULWINDER SINGH","Payment Success","14000"
"17905","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP444/2025-2026/253988","HARDA(District Collector Harda_IDA)","Durga Das Uikey","BETUL(ST)","30-Jan-2026","gram panchayat bhawras","Payment Success","120000"
"17906","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230879","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","05-Jan-2026","RAMLAL GURJAR","Payment Success","386178"
"17907","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/240586","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","05-Feb-2026","RAMLAL GURJAR","Payment Success","263947"
"17908","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/240586","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","15-Apr-2026","RAMLAL GURJAR","Payment Success","102272"
"17909","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/216461","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","27-Mar-2026","WARAICH PIPE AND TILE FACTORY","Payment Success","114700"
"17910","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/216460","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","10-Jan-2026","WARAICH PIPE AND TILE FACTORY","Payment Success","183520"
"17911","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/216458","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","29-Jan-2026","WARAICH PIPE AND TILE FACTORY","Payment Success","183520"
"17912","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/216462","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","07-Mar-2026","WARAICH PIPE AND TILE FACTORY","Payment Success","137640"
"17913","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/216458","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","29-Jan-2026","NEW BHINDER TRADERS","Payment Success","14480"
"17914","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2025-2026/216460","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","10-Jan-2026","NEW BHINDER TRADERS","Payment Success","14480"
"17915","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2024-2025/153729","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","05-Jan-2026","JATINDER KUMAR","Payment Success","10200"
"17916","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2024-2025/153729","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","05-Jan-2026","JAGROOP KUMAR","Payment Success","10800"
"17917","Haryana","Street lights","WS/MP18063/2025-2026/244503","PANIPAT(DC CUM NODAL OFFICER MPLADS)","MANOHAR LAL","KARNAL","12-Jan-2026","ADC Cum CPO NRE Panipat","Payment Success","455000"
"17918","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2024-2025/153729","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","05-Jan-2026","RAMANDEEP","Payment Success","10800"
"17919","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2024-2025/153729","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","05-Jan-2026","RANI","Payment Success","7200"
"17920","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2024-2025/153729","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","05-Jan-2026","RAMAN KUMAR","Payment Success","6400"
"17921","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18159/2025-2026/196537","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","BHUPENDER YADAV","ALWAR","23-Mar-2026","GAURAV CONTRACTOR","Payment Success","956587"
"17922","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18159/2025-2026/196537","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","BHUPENDER YADAV","ALWAR","06-Jan-2026","GAURAV CONTRACTOR","Payment Success","1022468"
